geno,geno2,accenumb,accename,comp1num,comp1gerp,comp2num,comp2gerp
A239,A239,AMES23405,A239,27,25680.6848500002,37,72994.62238
A258,A258,NSL81596,A258,25,28564.9708400002,36,67714.16501
A321,A321,AMES23421,A321,27,27352.9824200002,30,26956.0812399999
A322,A322,AMES23422,A322,28,33035.6124900001,42,75608.5228900001
A334,A334,AMES23423,A334,24,26194.3823100002,35,37989.5829100002
A340,A340,AMES23424,A340,30,30748.8632000005,33,62769.9618200011
A374,A374,AMES23427,A374,28,29755.5627800002,43,59497.2347100002
A401,A401,AMES23430,A401,30,25945.6355700002,39,79357.4729930003
A427,A427,AMES23435,A427,24,28962.0293400004,44,78788.6393490003
A554,A554,PI587138,A554,26,27669.4597800001,33,61620.4606200004
A627,A627,AMES23463,A627,31,31542.5440100002,35,58844.2362400012
A632,A632,PI587140,A632,29,26967.9690600003,39,73536.5865100018
A635,A635,AMES19309,A635,26,28625.8894300001,47,86854.6762190006
A648,A648,NSL81597,A648,24,23385.6255000001,27,52264.6899700005
A659,A659,NSL81599,A659,29,31648.0183500002,28,28662.5640799999
A663,A663,PI607523,A663,23,22757.8133800003,52,85224.4582290015
A679,A679,PI587142,A679,35,35418.1316830002,40,56160.35283
A680,A680,AMES23503,A680,37,40989.8937030005,30,43072.5589000001
A682,A682,PI587143,A682,19,25928.3043600002,33,57654.0050100014
A71,A71,NSL42875,A71,28,25749.3706400002,29,39941.3160100004
A73,A73,AMES22439,A73,26,22239.5098500001,31,45863.2924900001
AusTRCF_306238,AUSTRCF306238,NSL437933,AusTRCF 306238,31,36589.0807500001,32,31609.1558600003
B103,B103,AMES22788,B103,37,44905.9987400001,36,46212.0285200006
B104,B104,AMES22789,B104,40,43952.6012200002,28,44716.3589600003
B105,B105,AMES22790,B105,24,28352.9138700001,20,26635.18475
B106,B106,PI594049,B106,24,31979.6191000001,41,63761.6446200007
B107,B107,PI597925,B107,34,40598.6821500004,21,22974.7394000001
B108,B108,PI597926,B108,23,24373.1765,27,31293.41339
B109,B109,PI597927,B109,40,36360.2136430002,34,74401.6144900003
B111,B111,PI607382,B111,42,49274.0471030003,33,40780.0108200002
B113,B113,PI607383,B113,31,37178.1076200002,29,31745.5616300003
B114,B114,PI607384,B114,39,35757.1589400002,24,29019.3319300003
B115,B115,PI615190,B115,42,40254.3554200003,31,43274.9920600001
B119,B119,PI634213,B119,55,50255.4643130004,29,54201.3693600014
B120,B120,PI634214,B120,30,32118.0513900001,26,28814.3157400002
B121,B121,PI634215,B121,22,24791.6686400002,41,50391.3708500003
B14,B14,NSL65866,B14,25,24837.6932700002,35,46566.3816230001
B14A,B14A,PI550461,B14A,32,34540.1681000001,38,57888.4343000006
B164,B164,AMES27066,B164,31,32132.0751400001,36,58656.0037400003
B2,B2,AMES26769,B2,34,37440.1619100002,33,41846.6527000002
B37,B37,PI550467,B37,40,33295.0134000002,28,33466.0917200003
B66,B66,PI550464,B66,28,30470.8138400001,27,44420.9698500004
B68,B68,PI550465,B68,33,36877.6327500001,29,39174.9632200002
B73,B73,PI550473,B73,43,46294.8604430003,71,171252.397145
B75,B75,PI608774,B75,27,27650.34896,38,82606.4166230018
B77,B77,PI608765,B77,28,33962.1249200002,36,44905.8624100003
B79,B79,PI608766,B79,27,29135.6144900002,34,58754.4983800014
B85,B85,PI608777,B85,25,33662.4790800002,37,49157.8016900003
B87,B87,PI608768,B87,29,28033.6382700001,42,54129.9968800004
B88,B88,PI550556,B88,30,25540.71712,36,94390.1286690007
B91,B91,PI527700,B91,32,34290.2799700002,34,33670.8667000002
B97,B97,PI564682,B97,27,28404.3507800003,22,31972.6261300004
B99,B99,PI584528,B99,28,31550.2208300002,28,53072.7115360006
C102,C102,NSL22983,C102,22,22186.03321,40,87532.418383001
C103,C103,AMES19284,C103,29,33453.9579100004,25,51872.1110800003
C123,C123,AMES19313,C123,24,25475.9562000001,23,46044.3651900003
CH157,CH157,AMES22441,CH157,34,35844.2656900003,32,32527.9839300001
CH9,CH9,AMES27068,CH9,21,26345.5480400001,32,68837.9656300006
CI_40H,CI40H,AMES26128,CI 40H,28,39527.8866100002,31,56672.4507300012
CML.108,CML108,AMES27082,CML 108,21,22800.3695800001,41,60451.0888430005
CML.228,CML228,AMES27088,CML 228,26,29266.3966930003,29,36676.3419249999
CML.322,CML322,AMES27096,CML 322,17,23470.2901800001,34,59870.1002400008
CML.323,CML323,AMES27097,CML 323,31,29047.4331200003,40,65557.1738300009
CML.91,CML91,AMES27079,CML 91,24,26894.6027900001,39,49226.5230980003
CO236,CO236,AMES27046,CO236,31,30985.3453000002,34,55109.5284400001
CO256,CO256,AMES27051,CO256,47,49623.7161700002,30,39271.17063
CO257,CO257,AMES27052,CO257,40,40784.3787400002,37,48704.3992500002
CO258,CO258,AMES27053,CO258,37,37110.6998130003,33,48343.3631600005
CR_22_INBRED,CR22INBRED,PI267165,CR 22 INBRED,22,18368.9838199999,40,51642.3148599999
CR1HT,CR1HT,PI601080,CR1HT,25,29649.0619100001,36,43822.9727700001
CSJ3,CSJ3,AMES27057,CSJ3,25,26626.5895700001,31,37732.8791300001
DE3,DE3,PI638551,DE3,27,37623.0737000004,29,39099.7872100006
DE4,DE4,PI638552,DE4,18,17935.7287400003,35,58359.7162500005
DE811,DE811,PI550558,DE811,29,36662.0316200002,28,65961.4407690003
F2834T,F2834T,AMES27112,F2834T,29,31653.8887330004,40,40548.4856800001
FC46,FC46,PI257517,FC46,27,28914.5378100001,34,71532.5435100014
FR19,FR19,PI600772,FR19,25,29324.9198200002,36,47780.8935900003
G80,G80,PI601037,G80,34,33025.8106500001,27,53408.6764200003
H110,H110,PI550526,H110,22,24259.5960600001,30,63795.6879800018
H113,H113,AMES26803,H113,42,48063.6966900001,45,66956.4581900006
H114,H114,AMES22751,H114,41,36476.8152800001,36,44546.9733000004
H121,H121,AMES26804,H121,23,28109.5907800001,34,54565.5575599998
H49,H49,AMES15929,H49,26,32024.7086100003,32,38600.5883829998
H5,H5,AMES26772,H5,28,26206.5049300001,24,38942.4469700004
H71,H71,AMES26793,H71,30,37473.8165600002,36,46103.6212700001
H84,H84,PI587128,H84,35,27084.1002000002,21,30327.6665730006
H95,H95,AMES19319,H95,29,32775.0058700003,30,84964.852280002
H96,H96,AMES26797,H96,33,33852.8339300002,26,55109.2779500014
H99,H99,PI587129,H99,26,32247.8513800004,21,29353.2051800005
Hi28,HI28,PI593010,Hi28,27,32692.9643600001,43,55875.65651
HUANYAO,HUANYAO,AMES2337,Huanyao,31,40986.3713000004,42,96830.2731300014
I205,I205,NSL65871,I 205,27,34709.7250200003,19,37245.62798
Il14H,IL14H,AMES27118,Il14H,32,37859.3587900002,37,59807.7036529998
INBRED_309,INBRED309,PI186227,INBRED 309,30,37735.9727900001,49,70914.6397700005
K150,K150,NSL22630,K150,43,37713.6517800002,43,77016.2705330011
K41,K41,NSL22635,K41,33,35627.6456500002,47,90876.5069900001
K55,K55,AMES22754,K55,26,30893.3120700001,32,46601.7206390002
Ki11,KI11,AMES27124,Ki11,26,27998.2813600001,34,57728.0523700014
Ki3,KI3,AMES27123,Ki3,19,27273.9573700001,36,63238.6890099999
Ky21,KY21,AMES27130,Ky21,30,32387.5171800002,21,25701.3774430001
L_289,L289,NSL65872,L 289,26,31233.8785300001,31,49771.3318740005
LH1,LH1,PI644101,LH1,34,34948.3642000002,25,39045.8381400001
LH123HT,LH123HT,PI601079,LH123HT,33,35806.5957700004,33,43855.4375500007
LH143_maintainer,LH143MAINTAINER,AMES27450,LH143 (Maintainer),33,31475.5546100002,46,83422.5413540007
LH149,LH149,PI601493,LH149,38,41220.1505530004,38,53031.7596100001
LH38,LH38,PI600791,LH38,23,24951.7647100004,35,38025.7057730004
LH39,LH39,PI600944,LH39,31,36175.9459400004,34,42347.91106
LH59,LH59,PI601466,LH59,19,19435.4585800003,33,51310.4132100014
LH82,LH82,PI601170,LH82,22,31120.6413500004,29,63154.4003000006
LH93,LH93,PI601171,LH93,31,33376.2674900002,40,67952.5640600015
LP5,LP5,PI601378,LP5,45,41313.7067930003,24,32805.64065
M14,M14,NSL30867,M14,28,29047.0530300001,27,40789.9887800001
M162W,M162W,AMES27134,M162W,34,26773.3877800001,28,40168.1940000005
M37W,M37W,AMES27133,M37W,24,23387.1614000002,24,24126.57905
MS106,MS106,AMES24727,MS106,24,26131.1251000002,20,30891.1583400003
MS116,MS116,AMES24729,MS116,17,21115.8368400001,29,37921.1040500001
MS132,MS132,AMES24730,MS132,29,30466.7069600002,46,81717.0959500008
MS142,MS142,AMES24733,MS142,33,37370.8256600005,27,50669.5431900013
MS211,MS211,AMES24742,MS211,29,23530.6251,58,87963.3483500005
MS221,MS221,AMES24746,MS221,37,37104.5561600002,39,55775.79381
MS222,MS222,AMES24747,MS222,39,42404.5328100002,38,44222.3956800003
MS223,MS223,AMES24748,MS223,24,32473.9557530004,26,37795.5468699999
MS224,MS224,AMES24749,MS224,22,21917.1983200001,26,51760.1067900005
MS225,MS225,AMES24750,MS225,22,19582.1864400002,17,23189.8144300002
MS226,MS226,AMES24751,MS226,23,23149.7135600002,43,56076.1814700003
MS24A,MS24A,AMES24708,MS24A,32,35844.6839700002,51,51866.6629000002
MS67,MS67,AMES24710,MS67,21,16757.6344400001,48,77225.9119000014
MS72,MS72,AMES24713,MS72,29,26595.9049300002,48,45108.17604
N193,N193,PI550567,N193,22,22995.7797400002,30,68242.5495400012
N197,N197,AMES22755,N197,27,34955.6578500003,19,32801.5011600002
N199,N199,PI568158,N199,33,31255.2951800001,33,44183.4546500001
N209,N209,PI595366,N209,29,35506.2659130003,49,50009.0607800006
N215,N215,PI595367,N215,19,24941.5761300001,28,42530.815903
N216,N216,PI596355,N216,24,33893.8567800003,46,48128.3003200003
N217,N217,PI596356,N217,36,37046.5257000002,40,71183.1879040006
N218,N218,PI596357,N218,34,38369.4330730003,39,39947.27772
N28Ht,N28HT,AMES27138,N28Ht,39,41305.2046100004,33,41834.7345390002
N501,N501,PI594050,N501,31,28484.3397800001,43,70778.4157600013
N527,N527,PI604606,N527,34,40272.2086100003,42,67953.2186300006
N534,N534,PI594080,N534,25,31234.1422100004,46,71071.1386300013
N538,N538,PI594084,N538,39,36704.6108100002,32,66732.9735500002
N542,N542,PI594088,N542,31,34339.1919400002,36,71987.0458730001
N545,N545,PI594091,N545,38,33274.0333000002,31,51096.4435600001
N6,N6,AMES27137,N6,27,32981.9363100005,19,35501.85056
N7A,N7A,PI607512,N7A,37,39038.8978600003,24,32128.6333200006
NC250,NC250,PI550555,NC250,32,29910.4430800001,32,69158.1388100002
NC264,NC264,PI520774,NC264,28,31805.4130600002,35,63166.0420900003
NC342,NC342,AMES27167,NC342,20,17377.19822,10,15275.2037200004
NC358,NC358,AMES27175,NC358,28,30676.9120300001,28,43916.1718530003
ND247,ND247,PI550503,ND247,31,27872.3616000001,42,82000.1505500007
ND283,ND283,NSL32738,ND283,29,29567.4836000002,34,56104.9445300002
