geno,geno2,accenumb,accename,comp1num,comp1gerp,comp2num,comp2gerp
A239,A239,AMES23405,A239,4,2374.88136999999,9,18593.8279400002
A258,A258,NSL81596,A258,2,3406.58357000007,7,8279.32966000009
A321,A321,AMES23421,A321,5,4948.04280000006,7,5679.88335999997
A322,A322,AMES23422,A322,4,3496.30400000007,11,17724.7506800002
A334,A334,AMES23423,A334,4,3902.05857000007,11,13276.7534600001
A340,A340,AMES23424,A340,5,4873.52863000006,8,27293.536570001
A374,A374,AMES23427,A374,5,3794.83424000007,9,11960.54453
A401,A401,AMES23430,A401,6,5036.22480000006,10,19217.0263700001
A427,A427,AMES23435,A427,5,5051.16980000006,10,20873.5711390001
A554,A554,PI587138,A554,3,3409.19600000007,9,12371.2185200001
A627,A627,AMES23463,A627,6,5038.96153000006,6,18705.2418600011
A632,A632,PI587140,A632,5,3772.49881000007,8,26718.6151400013
A635,A635,AMES19309,A635,6,4401.59891000006,14,23914.9009390004
A648,A648,NSL81597,A648,4,3478.41200000007,5,7618.0176600001
A659,A659,NSL81599,A659,6,5862.25334000006,8,10990.3487300001
A663,A663,PI607523,A663,5,5051.16980000006,12,34617.5707730014
A679,A679,PI587142,A679,10,9244.94118000013,8,6093.35080999999
A680,A680,AMES23503,A680,8,4647.92321000007,9,13059.2593900002
A682,A682,PI587143,A682,5,4415.53557000007,8,25833.3111200012
A71,A71,NSL42875,A71,6,3555.03632999998,8,7392.89255999999
A73,A73,AMES22439,A73,5,3908.70957000007,5,10241.8199800001
AusTRCF_306238,AUSTRCF306238,NSL437933,AusTRCF 306238,3,3475.46500000007,4,2276.17633
B103,B103,AMES22788,B103,4,4027.97657000007,6,6293.3956700001
B104,B104,AMES22789,B104,4,3711.40034000007,4,5924.42218000007
B105,B105,AMES22790,B105,2,3406.24900000007,4,11076.3202199999
B106,B106,PI594049,B106,3,3516.02700000007,8,17378.0925300003
B107,B107,PI597925,B107,4,4728.08497000006,4,6765.97364000007
B108,B108,PI597926,B108,3,6120.59890000002,5,6040.63107000005
B109,B109,PI597927,B109,9,6140.16201000006,8,16451.1537100002
B111,B111,PI607382,B111,5,5971.87711000005,5,6363.74047000004
B113,B113,PI607383,B113,5,4154.36000000006,8,9825.36476000011
B114,B114,PI607384,B114,6,7591.81587000001,8,6172.37642000001
B115,B115,PI615190,B115,6,3853.04300000007,7,12586.6129200002
B119,B119,PI634213,B119,7,4103.38791000007,8,18450.3855000011
B120,B120,PI634214,B120,8,5471.40037000006,6,9442.03646999996
B121,B121,PI634215,B121,3,4854.28380000006,9,15231.7982800001
B14,B14,NSL65866,B14,4,3907.07591000007,10,19010.830373
B14A,B14A,PI550461,B14A,6,5541.79261000006,11,20012.3865600001
B164,B164,AMES27066,B164,5,5476.01137000006,9,24954.91408
B2,B2,AMES26769,B2,6,5157.36480000006,9,13928.2292100002
B37,B37,PI550467,B37,6,4180.86581000007,8,11302.1264800001
B66,B66,PI550464,B66,6,4681.23910000007,8,21350.6327100003
B68,B68,PI550465,B68,5,4196.79857000007,6,13379.0302000001
B73,B73,PI550473,B73,8,5927.13601000006,33,89451.4770849999
B75,B75,PI608774,B75,4,3567.59034000007,13,36400.9655530015
B77,B77,PI608765,B77,6,5843.02316000009,4,10510.7341200002
B79,B79,PI608766,B79,4,3685.05624000007,7,23448.2530300012
B85,B85,PI608777,B85,5,5035.66753000006,7,13414.9457400002
B87,B87,PI608768,B87,3,3475.46500000007,11,15055.7202100001
B88,B88,PI550556,B88,6,5036.79871000006,7,26468.7150430003
B91,B91,PI527700,B91,6,3998.82257000007,6,5062.57853999997
B97,B97,PI564682,B97,3,3814.95057000007,4,8644.94990000008
B99,B99,PI584528,B99,4,4857.23080000006,6,16103.8788100002
C102,C102,NSL22983,C102,7,7133.84081000002,7,15959.8709530002
C103,C103,AMES19284,C103,7,2419.62364000001,8,11095.7544099998
C123,C123,AMES19313,C123,6,3890.39434000007,5,3451.84829999998
CH157,CH157,AMES22441,CH157,3,3575.07100000007,9,9641.12066000002
CH9,CH9,AMES27068,CH9,3,6120.59890000002,10,21764.3346900002
CI_40H,CI40H,AMES26128,CI 40H,3,4515.13280000006,8,23684.9879300012
CML.108,CML108,AMES27082,CML 108,2,936.309110000007,9,26417.7569230005
CML.228,CML228,AMES27088,CML 228,2,3406.24900000007,8,7382.31386000004
CML.322,CML322,AMES27096,CML 322,1,2997.88200000007,9,17815.3756500004
CML.323,CML323,AMES27097,CML 323,5,3934.49770000007,14,34471.7217600012
CML.91,CML91,AMES27079,CML 91,3,4854.28380000006,6,9898.21777000019
CO236,CO236,AMES27046,CO236,6,5709.6857000001,9,22229.8806600003
CO256,CO256,AMES27051,CO256,8,5948.0402400001,4,5034.57635999999
CO257,CO257,AMES27052,CO257,6,6141.24463000006,7,6203.24166999998
CO258,CO258,AMES27053,CO258,6,5302.24761000006,7,9535.68902999998
