<Trait>	BLUE_Yield	BLUE_DTS	BLUE_DTA	BLUE_PH	BLUE_EH
PI601009xEP37	-999	64.7269	60.4031	157.9018	60.5324
PI601009xNSL8583	5.9727	66.6794	63.995	195.8136	64.697
PI601009xAmes23467	-999	66.2722	64.2974	196.7149	65.2091
PI601009xPI340829	-999	64.3171	61.9971	180.2659	72.8536
PI601009xAmes14211	5.6745	64.1711	62.7591	178.3185	73.8735
PI601009xA619	6.1337	65.514	63.057	207.487	75.737
PI601009xAmes27183	7.1552	65.8107	64.2673	198.8143	76.2319
PI601322xEP37	-999	65.0053	59.6647	214.8007	76.2441
PI601009xAmes28186	4.839	64.6976	62.7902	195.2227	76.8484
PI601009xNSL32738	4.1143	63.3158	61.4024	189.6374	77.2212
PI601009xEP39	5.2392	65.1789	63.1255	187.4399	77.7524
PI601009xAmes27049	5.7407	64.2477	61.8579	192.6329	78.0653
PI601009xAmes26783	5.8282	68.0202	66.1145	204.5423	78.3758
PI601009xH84	2.7187	73.9956	71.2178	183.0967	78.618
PI601322xEP46	-999	61.9827	57.8529	227.3357	79.2221
PI601009xAmes27068	5.4475	65.2913	63.5931	200.5102	79.2442
PI601009xNSL30910	7.0727	68.1785	66.4783	195.2831	79.3665
PI601009xPI550556	7.0113	68.3348	65.3341	191.3684	79.5305
PI601009xAmes29018	3.7997	69.7863	66.3138	201.0385	79.6648
PI601322xEP73	5.5041	64.8202	61.6288	195.8326	80.0383
PI601009xPI600791	7.4118	66.106	64.8297	200.1719	80.111
PI601009xPI644100	4.8411	65.2481	62.6897	187.8211	80.3294
PI601009xPI567792	5.4815	66.4041	64.4028	196.9517	80.9093
PI601009xAmes28364	5.6284	65.0484	63.0647	197.8433	81.0793
PI601009xPI601405	5.9634	64.3887	63.0778	200.0149	81.261
PI601322xPI539871	6.7408	66.1899	64.1767	204.3918	81.28
PI601322xAmes23475	-999	67.1173	63.8225	225.739	81.3397
PI601009xAmes27141	3.0851	71.2303	69.5689	201.8335	81.589
PI601322xAmes27183	7.036	65.8915	63.4014	214.8359	81.6295
PI601009xPI601562	7.0071	66.3156	64.4277	207.6978	81.8695
PI601009xPI601560	7.1258	66.8487	64.8816	213.2369	81.99
PI601009xAmes22750	6.2754	67.0009	65.2074	205.6354	82.2611
PI601009xPI594079	7.173	66.8223	64.8746	198.7183	82.4632
PI601009xNSL42808	5.1016	65.5241	63.1862	194.9795	82.4672
PI601009xNSL8585	4.899	64.9349	62.5259	214.9703	82.5424
PI601009xA641	5.7977	63.8718	62.755	193.0704	82.6245
PI601009xNSL117226	4.6732	68.1128	66.9009	203.2005	83.0092
PI601009xAmes27196	5.9271	66.3709	64.716	196.1197	83.144
PI601009xPI634207	4.739	66.721	64.5172	196.2396	83.1727
PI601009xAmes19318	6.6899	67.8195	67.0834	194.5574	83.2123
PI601009xAmes27137	6.9782	67.1596	64.8807	207.3664	83.4317
PI601009xPI340859	5.5945	66.4212	65.0519	208.7173	83.4343
PI601009xAmes24704	5.7662	65.6584	64.4823	201.5616	83.4988
PI601009xEP73	-999	61.3708	60.343	196.6238	83.7945
PI601009xAmes22441	5.7183	64.5001	63.4626	215.2299	83.918
PI601009xAmes24707	5.7442	64.6303	62.5843	188.2894	83.9222
PI601009xPI601558	7.3029	65.3815	63.6274	205.5898	84.1976
PI601009xAmes24742	-999	67.3315	64.8328	204.3935	84.2471
PI601009xPI553055	5.7347	64.6529	62.995	217.3775	84.2957
PI601009xPI561694	5.8586	65.497	63.5851	200.3602	84.3141
PI601322xAmes27052	7.0689	70.1518	66.1542	210.5399	84.3331
PI601009xNSL42877	5.4452	64.0284	63.0556	208.1128	84.3376
PI601009xPI601316	7.4416	65.5794	63.3992	191.3657	84.3768
PI601009xPI531081	6.9587	66.9935	64.9498	198.4041	84.4131
PI601009xAmes19288	6.8161	65.5877	63.6313	207.2874	84.495
PI601009xPI601567	6.5226	65.2426	63.6291	201.2357	84.5938
PI601009xPI539871	6.8759	65.9885	65.3421	199.852	84.6472
PI601009xAmes23420	6.0852	64.7342	62.7165	205.0014	84.7362
PI601009xM14	7.0821	66.0181	64.7785	202.859	85.0039
PI601009xPI553062	4.2723	66.6758	64.4997	207.4938	85.0211
PI601009xB105	6.9843	67.241	65.419	206.3683	85.0562
PI601322xAmes27068	-999	66.2107	64.1347	225.5602	85.0908
PI601009xPI601689	6.3409	67.6125	66.6626	199.2205	85.1656
PI601009xPI601792	7.6353	66.803	65.2894	210.6395	85.3376
PI601009xPI550442	7.1267	67.3008	64.5952	204.1719	85.3737
PI601322xA619	6.6877	65.5808	63.0104	225.7442	85.6358
PI601009xPI520772	6.3297	65.6913	64.3522	197.1018	85.6983
PI601009xPI601170	7.2894	64.6647	63.2686	190.5663	85.7503
PI601009xAmes27057	6.4532	64.066	61.7957	196.9819	85.8164
PI601009xB103	5.9439	65.1107	63.4832	199.1928	85.891
PI601009xPI601726	6.4806	65.3405	63.3616	196.145	86.1038
PI601009xPI601317	6.7217	66.3891	64.8685	199.9527	86.1583
PI601009xPI601497	7.2611	65.9238	63.4628	198.5063	86.374
PI601009xNSL30894	7.3836	66.9778	64.3963	207.3483	86.6943
PI601009xAmes22439	6.4895	65.8702	64.1718	198.2991	86.7313
PI601009xAmes19000	7.1642	67.6447	66.1838	200.7895	86.84
PI601009xPI601403	6.4971	67.8406	66.383	202.2336	86.8487
PI601009xPI601728	6.5512	65.7944	63.8764	211.7152	86.9273
PI601009xPI542953	6.4114	72.0027	67.9056	217.6528	87.025
PI601009xNSL30059	7.1487	63.723	62.7247	221.55	87.1669
PI601009xAmes23445	5.6302	65.3176	62.8952	197.1135	87.174
PI601009xPI601458	6.5138	66.0012	63.3747	203.7885	87.1865
PI601009xNSL29304	6.5716	66.8799	66.0266	203.1777	87.2769
PI601009xEP31	5.0008	63.2447	61.9374	211.3054	87.6361
PI601009xPI634206	6.3894	69.6377	66.2282	209.5985	87.6771
PI601009xAmes23495	6.6585	66.1983	64.0645	214.579	87.7061
PI601322xEP39	4.237	65.1748	62.593	209.9338	87.7177
PI601009xPI601782	6.9439	65.653	64.1013	210.3513	87.7886
PI601009xAmes24718	6.98	66.6781	65.3783	205.1412	87.8718
PI601322xNSL8583	4.9429	67.1821	63.2892	220.6959	87.9777
PI601009xA554	4.7187	64.9768	63.6137	195.3293	88.07
PI601009xAmes26798	6.0843	66.4401	64.2298	198.3331	88.1353
PI601009xPI634211	6.7427	66.3308	63.8998	212.6501	88.1896
PI601009xH99	7.2543	66.279	65.1759	203.0389	88.2035
PI601009xPI601566	8.0188	67.1922	65.0039	207.915	88.2154
PI601009xAmes19293	5.6149	66.7454	64.7024	206.8341	88.2389
PI601009xPI587153	5.2019	65.0965	63.3404	198.7893	88.3175
PI601009xPI550507	6.2591	65.897	64.5548	209.3466	88.3326
PI601009xPI601724	7.5102	67.0012	65.1389	209.0787	88.3961
PI601009xAmes26804	7.4811	68.0961	65.7913	209.8287	88.4644
PI601009xAmes23449	5.6342	64.9935	63.3937	206.8067	88.5156
PI601009xPI601190	6.2616	66.4062	63.9367	201.5624	88.6109
PI601009xPI538231	5.9305	65.5551	63.6568	213.8368	88.6562
PI601009xNSL42806	5.3554	65.7	62.8729	211.6813	88.7104
PI601009xAmes24719	6.0817	65.7051	64.0329	209.13	88.7854
PI601009xPI596357	5.8861	69.0491	67.9003	199.6591	88.8224
PI601009xPI608768	6.6858	66.4304	64.3887	210.5273	88.8987
PI601009xAmes22749	7.1017	66.6003	64.0837	215.9627	88.9446
PI601322xAmes27033	6.0446	65.0923	62.576	211.3441	89.0027
PI601322xAmes27057	-999	65.4533	63.0378	203.0373	89.083
PI601009xAmes24744	6.1147	65.3684	63.7079	205.136	89.1004
PI601009xPI601457	6.0293	64.5156	62.2881	217.9442	89.355
PI601009xPI601574	7.076	67.0325	65.8559	211.4041	89.5295
PI601009xPI550492	5.5367	66.1203	63.9095	203.9546	89.5435
PI601322xH99	6.6995	65.1607	63.222	213.6248	89.56
PI601009xAmes24716	6.1689	66.5792	65.3247	189.9899	89.6575
PI601009xNSL30876	6.5397	66.9485	64.6048	210.4579	89.6951
PI601009xEA2000	5.2935	63.7853	62.0707	197.2658	89.7486
PI601009xAmes28985	4.0739	65.91	63.3244	201.6424	89.7979
PI601009xAmes23421	5.5691	64.9897	63.4739	199.3433	89.8393
PI601009xAmes24745	6.6834	67.2535	64.7251	208.2347	90.0215
PI601009xPI594078	7.2305	67.1034	64.8846	199.2321	90.0294
PI601009xNSL438036	6.3871	67.0494	65.4822	204.5525	90.1816
PI601009xA635	6.4393	65.6578	64.1262	197.9947	90.2194
PI601009xAmes24748	6.2127	66.213	64.4354	218.7746	90.2419
PI601009xPI524969	6.9879	65.9851	64.4135	216.6546	90.3051
