Env,DistB73,SS,NSS,TS,INBRED,10KW_Inbred,KC_Inbred,CD_Inbred,CL_Inbred,CW_Inbred,TKW_Inbred,10KW_B73,KC_B73,CD_B73,CL_B73,CW_B73,TKW_B73,10KW_Hyb,KC_Hyb,CD_Hyb,CL_Hyb,CW_Hyb,TKW_Hyb,10KW_bph,CD_bph,CL_bph,CW_bph,TKW_bph
02F,1.39759392,0.014,0.972,0.014,33-16,2.1,69.36507938,14.77666667,70.22333333,4.166666667,14.56666667,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.28,379.3902439,27.786,122.272,20.44,124.44,0.241666667,5.408333333,22.83166666,5.866666667,24.14166667
02F,1.73649679,0.003,0.993,0.004,38-11,2.36,202.9661017,24.328,109.86,9.9,47.9,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.66,364.2622951,32.638,148.05,27.12,133.32,0.111666667,0.632666668,3.013333325,3,7.475
02F,1.58696506,0.071,0.917,0.012,4226,.,.,18.63666667,94.67666667,6.433333333,1.466666667,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.08,402.6623377,27.474,133.142,26.52,124.02,.,3.478333333,10.60499999,4.733333334,30.69166667
02F,1.84957904,0.035,0.854,0.111,4722,1.9,239.2982456,22.73,127.8133333,18.3,45.46666667,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,2.92,503.7671233,26.918,161.562,27.98,147.1,0.341666667,1.431666668,5.963333325,1.2,8.691666665
02F,1.28996325,0.189,0.785,0.026,796,3.2,181.6666667,23.76666667,84.31,11.23333333,58.13333333,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.8,328.1052632,26.912,122.26,20.74,124.68,0.308333333,0.913333332,15.78833333,2.333333335,2.358333335
02F,1.59826461,0,0,0,81-1,.,.,.,.,.,.,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.5,336.2857143,29.106,153.91,28.16,117.7,.,.,.,.,.
02F,1.10424611,0.762,0.017,0.221,A214N,2.74,147.810219,19.632,132.328,9,40.5,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.04,408.0921053,24.956,146.846,17.66,124.06,0.078333333,2.980666668,8.220666675,3.45,11.175
02F,1.44411393,0.035,0.963,0.002,A239,2.74,132.189781,23.382,83.948,8.24,36.22,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,.,.,.,.,.,.,.,.,.,.,.
02F,1.59826461,0.019,0.122,0.859,A272,2.2,19.54545455,14.89,89.86,4.5,4.3,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.48,380.6321839,27.052,156.622,21.12,132.46,0.191666667,5.351666668,13.01333333,5.7,29.275
02F,1.92368701,0.005,0.531,0.464,A441-5,3.82,63.45549738,22.37,89.668,14.16,24.24,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,4.34,433.0414747,30.412,152.8,34.1,187.94,0.618333333,1.611666668,13.10933333,0.87,19.305
02F,1.26976054,0.019,0.979,0.002,A554,2.12,115.2830189,20.234,62.356,5.52,24.44,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.7,344.0540541,26.49,140.744,26.14,127.3,0.231666667,2.679666668,26.76533333,5.19,19.205
02F,1.33163595,0.004,0.994,0.002,A556,2.15,122.0930233,17.815,90.36,8.95,26.25,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,2.96,428.5810811,25.7,140.814,24.4,126.86,0.216666667,3.889166668,12.76333333,3.475,18.3
02F,1.70181123,0.003,0.03,0.967,A6,2.4,129.8958333,26.62,108.33,15.225,31.175,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.88,371.3402062,31.7,136.206,30.42,144.08,0.091666667,0.513333333,3.778333325,0.3375,15.8375
02F,1.59826461,0.009,0.99,0.001,A619,2.88,178.8194444,28.2,105.618,12.64,51.5,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,4,371.1,31.81,149.238,30.62,148.44,0.148333333,1.303333333,5.134333325,1.63,5.675
02F,0.85299588,0.993,0.004,0.003,A632,2.68,181.1940299,21.612,99.034,10.5,48.56,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.36,347.0833333,28.728,123.642,19.5,116.62,0.048333333,1.990666668,8.426333325,2.7,7.145
02F,0.82667857,0.897,0.1,0.003,A634,3.342857143,93.80341881,21.40571429,83.05,8.157142857,31.35714286,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.46,405.3179191,24.946,145.382,23.04,140.24,0.379761905,2.093809523,16.41833333,3.871428572,15.74642857
02F,0.85299588,0.825,0.171,0.004,A635,2.075,117.8313253,17.375,85.945,4.475,24.45,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.6,346.5,28.42,145.446,24.34,124.74,0.254166667,4.109166668,14.97083333,5.7125,19.2
02F,1.02290047,0.517,0.481,0.002,A641,2.833333333,122.4705882,21.75,83.08333333,9.533333333,34.7,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.62,403.6464088,28.846,148.266,24.96,146.12,0.125,1.921666668,16.40166666,3.183333334,14.075
02F,1.23053983,0.083,0.915,0.002,A654,.,.,.,.,.,.,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.5,313.8857143,29.82,127.94,27.04,109.86,.,.,.,.,.
02F,1.68527599,0.006,0.991,0.003,A659,2.366666667,153.5211267,22.50833333,91.79666667,11.03333333,36.33333333,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.64,331.1538462,27.792,129.806,23.32,120.54,0.108333333,1.542500003,12.04499999,2.433333335,13.25833334
02F,1.44411393,0.111,0.852,0.037,A661,2.2,93.18181818,25.83,78.91,9.7,20.5,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.36,353.8690476,30.78,142.194,30.08,118.9,0.191666667,0.118333333,18.48833333,3.1,21.175
02F,0.41109893,0.862,0.127,0.011,A679,2.62,403.4351145,24.978,139.204,21.48,105.7,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.06,400.1960784,30.698,133.154,24.28,122.46,0.018333333,0.307666667,11.65866668,2.79,21.425
02F,0.16450371,0.993,0.004,0.003,A680,2.76,257.3913043,25.79,117.592,16.12,71.04,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,.,.,.,.,.,.,.,.,.,.,.
02F,1.92368701,0.002,0.997,0.001,A682,3.28,173.4756098,21.158,118.276,9.32,56.9,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,4,398,28.205,150.015,26.2,159.2,0.348333333,2.217666668,1.194666675,3.29,2.975
02F,1.88594668,0.002,0.776,0.222,Ab28A,2.58,126.2790698,22.764,104.31,17.6,32.58,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.48,370.3448276,28.954,131.448,33.48,128.88,0.001666667,1.414666668,5.788333325,0.85,15.135
02F,1.12134054,0.429,0.57,0.001,B10,3.32,98.85542169,26.49,106.364,16.08,32.82,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,4.14,282.2222222,33.922,131.606,35.54,116.84,0.368333333,0.448333332,4.761333325,0.09,15.015
02F,0.5866637,0.694,0.305,0.001,B104,3.525,249.1489362,27.7775,117.9475,21.775,87.825,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.92,263.4183673,32.044,142.968,32.92,103.26,0.470833333,1.092083333,1.030416675,2.9375,12.4875
02F,1.12134054,0.397,0.566,0.037,B105,2.68,202.3134328,27.768,93.954,11.32,54.22,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.62,363.7569061,30.612,138.308,28.64,131.68,0.048333333,1.087333333,10.96633333,2.29,4.315
02F,0.24730962,0.995,0.003,0.002,B109,2.9,222.9655172,26.924,107.904,11.52,64.66,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,2.96,259.0540541,25.706,99.152,13.9,76.68,0.158333333,0.665333332,3.991333325,2.19,0.905
02F,1.57086564,0.061,0.847,0.092,B115,3.1,82.66129032,20.2925,102.8975,11.575,25.625,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.46,399.4797688,28.716,142.62,24.7,138.22,0.258333333,2.650416668,6.494583325,2.1625,18.6125
