"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
DAVIS.T,20100101,850,0.000,,13.3,7.8,9.4,PC,S,4,,,10.0,8.3,0.761,42,,,
DAVIS.T,20100102,840,1.269,,14.4,7.8,9.4,CY,N,4,,,10.6,8.9,0.000,55,,,
DAVIS.T,20100103,830,0.254,,11.1,2.2,5.6,F+,W,0,,,9.4,8.9,1.269,27,,,
DAVIS.T,20100104,855,0.000,,11.1,5.0,8.9,F+,N,1,,,10.0,8.3,0.254,32,,,
DAVIS.T,20100105,840,0.254,,8.9,3.9,6.1,F,S,0,,,9.4,8.9,1.015,16,,,
DAVIS.T,20100106,855,0.000,,8.3,5.6,6.7,F,SW,1,,,9.4,8.9,0.254,13,,,
DAVIS.T,20100107,910,0.000,,8.3,6.1,7.2,F,S,1,,,9.4,8.9,0.508,9,,,
DAVIS.T,20100108,900,0.000,,10.6,6.1,7.2,F,NE,0,,,8.9,8.9,0.254,19,,,
DAVIS.T,20100109,830,1.269,,10.0,4.4,6.1,F+,N,0,,,8.9,7.8,0.508,14,,,
DAVIS.T,20100110,815,0.508,,9.4,5.6,6.7,F+,N,1,,,9.4,7.8,0.254,14,,,
DAVIS.T,20100111,845,0.000,,9.4,6.1,7.2,F,NE,1,,,8.9,8.9,0.254,9,,,
DAVIS.T,20100112,830,7.614,,16.7,6.1,9.4,CY,SE,5,,,10.6,8.9,1.269,40,,,
DAVIS.T,20100113,845,8.376,,18.3,8.9,12.8,PC,SW,3,,,12.2,8.3,1.015,95,,,
DAVIS.T,20100114,825,0.000,,15.6,5.6,8.9,PC,NW,4,,,11.1,10.6,1.777,92,,,
DAVIS.T,20100115,840,0.000,,11.7,2.8,5.6,F,NW,2,,,10.0,9.4,1.269,59,,,
DAVIS.T,20100116,820,0.254,,12.8,3.9,4.4,F+,N,1,,,10.0,8.9,0.508,47,,,
DAVIS.T,20100117,815,2.538,,12.8,4.4,8.9,R,S,3,,,10.0,8.9,2.031,25,,,
DAVIS.T,20100118,830,5.838,,13.9,8.3,10.6,R,SE,7,,,10.6,10.0,1.523,42,,,
DAVIS.T,20100119,850,30.96,,10.6,8.9,8.9,R,S,8,,,9.4,7.8,1.015,24,,,
DAVIS.T,20100120,840,35.02,,11.1,7.8,9.4,R,SE,12,,,9.4,7.8,1.523,39,,,
DAVIS.T,20100121,835,25.88,,8.9,7.2,7.2,CY,N,3,,,8.9,8.9,1.523,15,,,
DAVIS.T,20100122,830,20.05,,8.9,3.9,6.1,CY,S,4,,,7.8,7.8,2.031,43,,,
DAVIS.T,20100123,845,7.614,,12.2,3.3,6.1,PC,SE,4,,,7.8,7.8,0.761,94,,,
DAVIS.T,20100124,845,0.254,,8.9,3.3,5.6,CY,SE,1,,,7.8,7.8,1.015,31,,,
DAVIS.T,20100125,835,9.391,,10.0,5.6,8.3,R,SE,3,,,8.9,7.8,0.000,28,,,
DAVIS.T,20100126,840,7.107,,10.6,6.7,7.8,CY,N,4,,,9.4,7.8,1.777,45,,,
DAVIS.T,20100127,830,1.015,,13.9,2.2,5.6,C,NW,3,,,10.0,8.3,1.269,129,,,
DAVIS.T,20100128,835,0.000,,13.3,3.9,4.4,F+,NW,1,,,9.4,7.8,1.015,93,,,
DAVIS.T,20100129,850,0.000,,10.6,4.4,8.3,F,NW,2,,,10.0,7.8,0.761,64,,,
DAVIS.T,20100130,830,2.284,,16.1,5.0,7.8,PC,SW,2,,,11.1,8.9,1.523,128,,,
DAVIS.T,20100131,845,0.000,,15.0,3.3,6.7,C,NW,2,,,10.6,7.8,3.046,133,,,
DAVIS.T,20100201,840,0.254,,13.9,6.1,10.0,CY,S,0,,,10.6,8.3,1.523,77,,,
DAVIS.T,20100202,820,0.000,,13.9,4.4,6.7,PC,N,2,,,10.6,9.4,1.269,83,,,
DAVIS.T,20100203,830,0.254,,16.7,4.4,8.9,CY,S,1,,,11.7,8.9,1.015,119,,,
DAVIS.T,20100204,825,0.254,,13.3,7.2,10.0,PC,S,4,,,10.6,9.4,1.269,34,,,
DAVIS.T,20100205,850,13.45,,16.7,9.4,11.1,CY,SE,3,,,11.7,10.0,1.523,123,,,
DAVIS.T,20100206,815,1.269,,13.3,9.4,9.4,CY,SE,4,,,11.7,10.0,4.061,51,,,
DAVIS.T,20100207,830,2.031,,15.0,8.9,10.0,PC,NW,2,,,12.2,10.6,2.792,100,,,
DAVIS.T,20100208,850,0.000,,14.4,4.4,6.7,PC,NW,0,,,11.1,10.0,2.538,107,,,
DAVIS.T,20100209,830,4.822,,12.8,6.1,8.9,R,S,2,,,10.6,10.0,1.269,59,,,
DAVIS.T,20100210,815,6.091,,15.0,1.7,7.2,PC,W,1,,,11.1,9.4,3.807,134,,,
DAVIS.T,20100211,845,0.000,,14.4,7.2,9.4,PC,S,3,,,11.7,8.9,1.523,100,,,
DAVIS.T,20100212,840,0.761,,16.7,8.9,10.6,R,SE,1,,,12.2,10.6,0.254,105,,,
DAVIS.T,20100213,900,0.761,,16.7,5.6,8.9,F+,N,2,,,12.8,10.6,1.269,115,,,
DAVIS.T,20100214,900,0.000,,18.9,5.0,11.1,PC,W,0,,,13.3,11.1,1.015,150,,,
DAVIS.T,20100215,845,0.000,,19.4,7.8,12.2,C,N,2,,,13.9,11.1,0.761,158,,,
DAVIS.T,20100216,845,0.000,,19.4,7.8,11.7,PC,W,1,,,13.3,12.2,3.300,144,,,
DAVIS.T,20100217,855,0.000,,20.6,7.2,10.0,F+,N,1,,,13.9,11.7,2.031,153,,,
DAVIS.T,20100218,800,0.000,,19.4,7.2,12.8,CY,N,2,,,12.2,10.0,1.777,133,,,
DAVIS.T,20100219,800,0.000,,15.0,8.3,,,,,,,12.2,10.0,2.792,49,,,
DAVIS.T,20100220,845,0.000,,15.0,6.1,9.4,CY,SW,0,,,12.2,11.1,0.761,83,,,
DAVIS.T,20100221,845,0.000,,12.8,5.0,9.4,PC,SW,1,,,11.7,11.1,1.523,71,,,
DAVIS.T,20100222,830,0.000,,15.6,6.1,8.9,C,N,6,,,12.8,10.6,1.015,171,,,
DAVIS.T,20100223,845,0.000,,10.0,6.1,8.9,CY,N,0,,,12.8,10.6,4.061,22,,,
DAVIS.T,20100224,900,21.82,,15.0,8.3,10.0,CY,S,4,,,11.7,10.0,3.046,63,,,
DAVIS.T,20100225,855,0.000,,15.6,6.1,10.0,CY,N,4,,,13.3,10.0,0.508,127,,,
DAVIS.T,20100226,900,0.254,,13.9,9.4,12.2,CY,S,7,,,12.2,11.1,2.284,37,,,
DAVIS.T,20100227,845,14.21,,15.0,6.1,8.3,R,N,3,,,11.7,10.6,15.22,89,,,
DAVIS.T,20100228,845,6.853,,17.8,3.3,10.6,PC,N,2,,,12.8,10.0,3.046,154,,,
DAVIS.T,20100301,900,0.000,,16.1,5.0,10.6,CY,N,2,,,13.3,10.0,1.777,129,,,
DAVIS.T,20100302,840,2.538,,15.0,8.9,11.1,R,SW,3,,,12.2,11.1,1.777,62,,,
DAVIS.T,20100303,900,10.91,,12.2,7.2,8.3,PC,S,4,,,11.7,10.6,2.792,110,,,
DAVIS.T,20100304,830,5.838,,12.8,2.2,6.7,PC,SE,4,,,12.2,10.0,2.031,142,,,
DAVIS.T,20100305,840,0.000,,13.9,2.2,6.7,CY,SE,2,,,11.7,10.0,1.269,131,,,
DAVIS.T,20100306,830,0.000,,19.4,6.1,12.2,PC,NW,6,,,10.6,10.6,1.269,148,,,
DAVIS.T,20100307,800,0.000,,20.0,4.4,8.3,C,N,1,,,13.9,10.6,3.046,191,,,
DAVIS.T,20100308,840,0.000,,15.0,6.7,10.6,CY,S,3,,,14.4,11.7,4.061,168,,,
DAVIS.T,20100309,830,0.000,,13.9,1.7,7.8,C,NW,4,,,15.0,11.7,4.061,166,,,
DAVIS.T,20100310,830,0.000,,13.9,2.2,7.2,C,NW,5,,,12.2,10.0,3.046,202,,,
DAVIS.T,20100311,830,0.000,,16.1,1.1,7.2,PC,SE,2,,,12.8,10.0,3.553,201,,,
DAVIS.T,20100312,840,0.000,,12.8,5.6,8.9,CY,S,4,,,11.1,10.0,4.061,54,,,
DAVIS.T,20100313,815,7.107,,13.9,1.7,5.6,C,N,5,,,11.1,9.4,0.508,216,,,
DAVIS.T,20100314,830,0.000,,18.3,5.6,8.3,PC,N,6,,,12.2,10.0,5.330,209,,,
DAVIS.T,20100315,740,0.000,,21.1,2.8,7.8,PC,0,0,,,14.4,12.2,4.569,210,,,
DAVIS.T,20100316,720,0.000,,21.7,6.7,9.4,PC,N,2,,,14.4,11.7,3.046,199,,,
DAVIS.T,20100317,830,0.000,,23.9,8.9,12.2,PC,N,3,,,16.1,12.2,3.553,163,,,
DAVIS.T,20100318,845,0.000,,23.9,7.8,13.3,C,N,6,,,16.1,13.9,3.807,222,,,
DAVIS.T,20100319,800,0.000,,26.7,7.8,12.2,C,NW,5,,,17.2,14.4,10.91,230,,,
DAVIS.T,20100320,845,0.000,,22.2,5.6,8.9,PC,N,1,,,16.7,14.4,6.599,185,,,
DAVIS.T,20100321,900,0.000,,23.9,6.1,10.0,CY,S,3,,,17.2,14.4,4.061,185,,,
DAVIS.T,20100322,845,0.000,,20.6,7.8,13.9,C,N,8,,,17.2,13.9,3.807,227,,,
DAVIS.T,20100323,720,0.000,,23.9,10.0,12.8,C,NW,10,,,17.8,15.6,8.629,229,,,
DAVIS.T,20100324,740,0.000,,20.6,6.1,9.4,CY,SW,1,,,17.2,15.0,7.614,214,,,
DAVIS.T,20100325,735,0.000,,17.2,7.2,11.1,CY,SE,3,,,16.1,14.4,5.584,145,,,
DAVIS.T,20100326,840,0.254,,19.4,3.9,11.1,C,N,2,,,16.7,13.9,3.300,238,,,
DAVIS.T,20100327,835,0.000,,21.1,6.1,12.8,C,NE,3,,,17.8,13.9,4.315,238,,,
DAVIS.T,20100328,840,0.000,,22.8,7.2,16.1,PC,SE,4,,,18.9,14.4,5.076,221,,,
DAVIS.T,20100329,715,0.000,,18.9,10.0,11.7,CY,SE,3,,,17.2,15.6,6.853,129,,,
DAVIS.T,20100330,720,1.269,,16.7,10.0,10.6,PC,S,2,,,17.2,15.6,4.315,201,,,
DAVIS.T,20100331,745,0.254,,14.4,4.4,8.3,C,S,3,,,15.6,14.4,5.076,185,,,
DAVIS.T,20100401,740,3.046,,16.1,6.1,9.4,PC,W,2,,,16.1,13.3,3.807,196,,,
DAVIS.T,20100402,735,0.000,,13.3,3.9,9.4,R,S,5,,,13.3,13.3,3.300,69,,,
DAVIS.T,20100403,730,4.061,,15.0,1.7,5.6,CY,NW,2,,,13.3,11.1,1.015,199,,,
DAVIS.T,20100404,840,0.000,,12.8,3.9,8.9,CY,SE,4,,,12.2,10.6,3.553,81,,,
DAVIS.T,20100405,735,22.08,,15.0,5.6,7.8,PC,SE,2,,,14.4,11.1,3.553,243,,,
DAVIS.T,20100406,730,0.000,,17.2,1.7,7.8,PC,N,3,,,14.4,11.1,3.300,273,,,
DAVIS.T,20100407,800,0.000,,22.8,6.7,11.7,C,N,4,,,16.7,11.7,5.838,276,,,
DAVIS.T,20100408,725,0.000,,21.7,5.6,10.0,C,N,2,,,17.8,12.2,4.569,274,,,
DAVIS.T,20100409,745,0.000,,22.2,9.4,12.8,C,NW,10,,,16.7,14.4,8.122,278,,,
DAVIS.T,20100410,740,0.000,,16.7,8.3,12.8,CY,SW,7,,,16.1,15.6,8.629,158,,,
DAVIS.T,20100411,745,0.000,,12.2,9.4,11.7,CY,SE,4,,,15.6,15.0,4.569,45,,,
DAVIS.T,20100412,800,24.11,,13.9,7.8,9.4,R,SE,6,,,13.3,12.8,6.599,111,,,
DAVIS.T,20100413,820,5.838,,17.2,5.6,8.3,PC,NE,0,,,15.6,12.2,1.777,266,,,
DAVIS.T,20100414,820,0.000,,17.2,6.1,10.6,CY,SW,2,,,15.6,11.7,3.300,246,,,
DAVIS.T,20100415,800,0.000,,20.0,6.1,10.6,C,N,5,,,16.7,13.3,4.061,252,,,
DAVIS.T,20100416,810,0.000,,22.2,8.9,,PC,S,1,,,18.3,14.4,4.315,271,,,
DAVIS.T,20100417,750,0.000,,23.9,7.8,13.3,PC,NW,2,,,19.4,15.0,5.584,267,,,
DAVIS.T,20100418,745,0.000,,26.1,8.3,13.3,C,N,3,,,20.0,16.7,4.822,293,,,
DAVIS.T,20100419,745,0.000,,22.8,8.9,15.0,PC,S,2,,,20.0,17.2,7.868,209,,,
DAVIS.T,20100420,745,4.061,,15.6,10.0,10.6,CY,S,3,,,17.8,17.8,5.330,165,,,
DAVIS.T,20100421,840,9.137,,12.8,6.7,9.4,R,NW,4,,,15.0,15.0,4.569,113,,,
DAVIS.T,20100422,800,3.046,,18.9,6.1,9.4,PC,NE,2,,,16.7,13.3,1.523,262,,,
DAVIS.T,20100423,730,0.000,,23.3,6.1,12.2,C,N,1,,,18.9,13.3,4.061,297,,,
DAVIS.T,20100424,750,0.000,,26.7,7.8,12.2,PC,NW,1,,,20.0,14.4,4.822,299,,,
DAVIS.T,20100425,830,0.000,,27.8,11.1,20.0,C,NW,8,,,21.1,16.1,5.584,312,,,
DAVIS.T,20100426,700,0.000,,26.1,8.3,12.2,PC,SE,1,,,21.1,18.3,8.883,235,,,
DAVIS.T,20100427,705,0.508,,18.3,11.1,13.9,CY,S,6,,,18.3,18.3,8.122,184,,,
DAVIS.T,20100428,700,1.269,,14.4,7.2,10.6,PC,S,2,,,17.2,16.1,4.061,208,,,
DAVIS.T,20100429,725,4.822,,19.4,2.8,7.8,C,NW,1,,,17.8,14.4,3.300,322,,,
DAVIS.T,20100430,755,0.000,,22.2,6.7,12.8,C,NW,10,,,18.3,13.9,7.614,323,,,
DAVIS.T,20100501,900,0.000,,27.2,7.8,20.6,PC,NW,5,,,20.6,15.6,9.645,311,,,
