Taxon,Prefixed_Taxon,Dataset,Species,Category,Alt Name,Coverage
6,6,CAU, Z. mays spp. Mays, Improved,,1.449219826
18,18,CAU, Z. mays spp. Mays, Improved,,1.437216261
32,32,CAU, Z. mays spp. Mays, Improved,,1.586836696
77,77,CAU, Z. mays spp. Mays, Improved,,0.994997913
140,140,CAU, Z. mays spp. Mays, Improved,,0.931908696
196,196,CAU, Z. mays spp. Mays, Improved,,1.070833304
207,207,CAU, Z. mays spp. Mays, Improved,,1.393810261
411,411,CAU, Z. mays spp. Mays, Improved,,1.679608783
444,444,CAU, Z. mays spp. Mays, Improved,,1.49031887
619,619,CAU, Z. mays spp. Mays, Improved,,0.727454348
624,624,CAU, Z. mays spp. Mays, Improved,,2.336833739
680,680,CAU, Z. mays spp. Mays, Improved,,0.862362609
697,697,CAU, Z. mays spp. Mays, Improved,,0.751466087
707,707,CAU, Z. mays spp. Mays, Improved,,1.509294348
740,740,CAU, Z. mays spp. Mays, Improved,,0.530502087
743,743,CAU, Z. mays spp. Mays, Improved,,0.46259821
757,757,CAU, Z. mays spp. Mays, Improved,,1.58209087
764,764,CAU, Z. mays spp. Mays, Improved,,2.068443739
779,779,CAU, Z. mays spp. Mays, Improved,,0.855487913
785,785,CAU, Z. mays spp. Mays, Improved,,1.928448957
787,787,CAU, Z. mays spp. Mays, Improved,,1.039531652
790,790,CAU, Z. mays spp. Mays, Improved,,0.694111043
792,792,CAU, Z. mays spp. Mays, Improved,,0.67532913
794,794,CAU, Z. mays spp. Mays, Improved,,1.676936696
795,795,CAU, Z. mays spp. Mays, Improved,,1.051190522
802,802,CAU, Z. mays spp. Mays, Improved,,1.878662401
807,807,CAU, Z. mays spp. Mays, Improved,,2.07018087
832,832,CAU, Z. mays spp. Mays, Improved,,1.602807304
897,897,CAU, Z. mays spp. Mays, Improved,,2.158213191
926,926,CAU, Z. mays spp. Mays, Improved,,1.163689739
928,928,CAU, Z. mays spp. Mays, Improved,,1.422227739
953,953,CAU, Z. mays spp. Mays, Improved,,1.427916609
1101,1101,CAU, Z. mays spp. Mays, Improved,,0.956138087
1121,1121,CAU, Z. mays spp. Mays, Improved,,1.50069963
1127,1127,CAU, Z. mays spp. Mays, Improved,,0.896699391
1145,1145,CAU, Z. mays spp. Mays, Improved,,2.403620087
1313,1313,CAU, Z. mays spp. Mays, Improved,,1.227596783
1538,1538,CAU, Z. mays spp. Mays, Improved,,1.920919826
1610,1610,CAU, Z. mays spp. Mays, Improved,,1.25652159
1614,1614,CAU, Z. mays spp. Mays, Improved,,2.050090522
2005,2005,CAU, Z. mays spp. Mays, Improved,,2.631486478
2369,2369,CAU, Z. mays spp. Mays, Improved,,0.936705304
3189,3189,CAU, Z. mays spp. Mays, Improved,,0.83222687
3335,3335,CAU, Z. mays spp. Mays, Improved,,1.90010113
3514,3514,CAU, Z. mays spp. Mays, Improved,,0.79553913
4003,4003,CAU, Z. mays spp. Mays, Improved,,1.151274609
4722,4722,CAU, Z. mays spp. Mays, Improved,,0.959715913
4936,4936,CAU, Z. mays spp. Mays, Improved,,1.51571833
5023,5023,CAU, Z. mays spp. Mays, Improved,,2.04489872
5032,5032,CAU, Z. mays spp. Mays, Improved,,1.021397391
5707,5707,CAU, Z. mays spp. Mays, Improved,,0.746952957
6103,6103,CAU, Z. mays spp. Mays, Improved,,1.355495739
7146,7146,CAU, Z. mays spp. Mays, Improved,,1.53006087
7236,7236,CAU, Z. mays spp. Mays, Improved,,0.903553304
7327,7327,CAU, Z. mays spp. Mays, Improved,,1.155960282
7884,7884,CAU, Z. mays spp. Mays, Improved,,1.503436174
8701,8701,CAU, Z. mays spp. Mays, Improved,,1.03400313
8982,8982,CAU, Z. mays spp. Mays, Improved,,1.840794348
9058,9058,CAU, Z. mays spp. Mays, Improved,,1.357442174
9702,9702,CAU, Z. mays spp. Mays, Improved,,1.986507652
9706,9706,CAU, Z. mays spp. Mays, Improved,,1.956614783
9710,9710,CAU, Z. mays spp. Mays, Improved,,1.445054522
11430,11430,CAU, Z. mays spp. Mays, Improved,,1.386363043
17564,17564,CAU, Z. mays spp. Mays, Improved,,2.363959043
20564,20564,CAU, Z. mays spp. Mays, Improved,,1.868761565
20762,20762,CAU, Z. mays spp. Mays, Improved,,0.617811826
20837,20837,CAU, Z. mays spp. Mays, Improved,,0.553113478
68122,68122,CAU, Z. mays spp. Mays, Improved,,2.38882313
68139,68139,CAU, Z. mays spp. Mays, Improved,,2.704227565
68202,68202,CAU, Z. mays spp. Mays, Improved,,1.881825913
78004,78004,CAU, Z. mays spp. Mays, Improved,,0.887670783
78010,78010,CAU, Z. mays spp. Mays, Improved,,1.082544435
78599,78599,CAU, Z. mays spp. Mays, Improved,,3.527293043
79028,79028,CAU, Z. mays spp. Mays, Improved,,2.060270522
79131,79131,CAU, Z. mays spp. Mays, Improved,,0.921835304
87001,87001,CAU, Z. mays spp. Mays, Improved,,3.204262522
96201,96201,CAU, Z. mays spp. Mays, Improved,,1.561671478
99122,99122,CAU, Z. mays spp. Mays, Improved,,1.347409304
441950,441950,CAU, Z. mays spp. Mays, Improved,,0.913152957
030-1,030-1,CAU, Z. mays spp. Mays, Improved,,2.144993999
08-64,08-64,CAU, Z. mays spp. Mays, Improved,,1.446003478
1205A,1205A,CAU, Z. mays spp. Mays, Improved,,2.381035043
150-4,150-4,CAU, Z. mays spp. Mays, Improved,,2.819178522
18-599,18-599,CAU, Z. mays spp. Mays, Improved,,0.818029043
200-24-13413,200-24-13413,CAU, Z. mays spp. Mays, Improved,,2.876436783
2005-4,2005-4,CAU, Z. mays spp. Mays, Improved,,1.035368348
200B,200B,CAU, Z. mays spp. Mays, Improved,,1.361144696
29MIBZ2,29MIBZ2,CAU, Z. mays spp. Mays, Improved,,1.381903826
2FACC,2FACC,CAU, Z. mays spp. Mays, Improved,,0.954736783
2MA22,2MA22,CAU, Z. mays spp. Mays, Improved,,0.781488435
3489a,3489a,CAU, Z. mays spp. Mays, Improved,,2.134698174
3H2,3H2,CAU, Z. mays spp. Mays, Improved,,1.322776783
3IBZ2,3IBZ2,CAU, Z. mays spp. Mays, Improved,,0.917010261
433-7,433-7,CAU, Z. mays spp. Mays, Improved,,1.385897043
4676A,4676A,CAU, Z. mays spp. Mays, Improved,,0.963985304
468-3,468-3,CAU, Z. mays spp. Mays, Improved,,0.975381478
4F1,4F1,CAU, Z. mays spp. Mays, Improved,,2.34848687
4N506,4N506,CAU, Z. mays spp. Mays, Improved,,1.12937313
698-3,698-3,CAU, Z. mays spp. Mays, Improved,,2.785180957
6M502,6M502,CAU, Z. mays spp. Mays, Improved,,1.026527826
7026B,7026B,CAU, Z. mays spp. Mays, Improved,,1.351302
72-125,72-125,CAU, Z. mays spp. Mays, Improved,,1.435929043
75-14gao,75-14gao,CAU, Z. mays spp. Mays, Improved,,0.666625645
75-24,75-24,CAU, Z. mays spp. Mays, Improved,,0.914310435
75-364,75-364,CAU, Z. mays spp. Mays, Improved,,0.972069217
78002A,78002A,CAU, Z. mays spp. Mays, Improved,,0.536051391
78371A,78371A,CAU, Z. mays spp. Mays, Improved,,1.663868174
78551S,78551S,CAU, Z. mays spp. Mays, Improved,,2.046253043
7903E,7903E,CAU, Z. mays spp. Mays, Improved,,0.974950261
806A,806A,CAU, Z. mays spp. Mays, Improved,,0.684812348
807D,807D,CAU, Z. mays spp. Mays, Improved,,0.70873513
811A,811A,CAU, Z. mays spp. Mays, Improved,,0.688216783
82huangzao4,82huangzao4,CAU, Z. mays spp. Mays, Improved,,1.068362783
83IBI3,83IBI3,CAU, Z. mays spp. Mays, Improved,,1.184822
84-126-15-1,84-126-15-1,CAU, Z. mays spp. Mays, Improved,,2.039493826
85bai64,85bai64,CAU, Z. mays spp. Mays, Improved,,2.272937913
87916W,87916W,CAU, Z. mays spp. Mays, Improved,,0.843363826
9101-7,9101-7,CAU, Z. mays spp. Mays, Improved,,0.914709925
91huang10,91huang10,CAU, Z. mays spp. Mays, Improved,,1.833443304
91huang15,91huang15,CAU, Z. mays spp. Mays, Improved,,0.801452522
91huang5,91huang5,CAU, Z. mays spp. Mays, Improved,,2.379623565
92huang40,92huang40,CAU, Z. mays spp. Mays, Improved,,1.296565565
98F1,98F1,CAU, Z. mays spp. Mays, Improved,,1.596495043
A554,A554,CAU, Z. mays spp. Mays, Improved,,0.980194609
A619,A619,CAU, Z. mays spp. Mays, Improved,,0.709425565
A632,A632,CAU, Z. mays spp. Mays, Improved,,11.03704487
A679,A679,CAU, Z. mays spp. Mays, Improved,,0.884220572
A801,A801,CAU, Z. mays spp. Mays, Improved,,3.015124976
Ay3566,Ay3566,CAU, Z. mays spp. Mays, Improved,,2.171353594
Ay420,Ay420,CAU, Z. mays spp. Mays, Improved,,2.559027913
B09,B09,CAU, Z. mays spp. Mays, Improved,,0.642838
B100,B100,CAU, Z. mays spp. Mays, Improved,,0.649890174
B102,B102,CAU, Z. mays spp. Mays, Improved,,1.510039304
B12,B12,CAU, Z. mays spp. Mays, Improved,,2.393870348
B14,B14,CAU, Z. mays spp. Mays, Improved,,0.582838435
B37,B37,CAU, Z. mays spp. Mays, Improved,,1.079398174
