geno2,geno,accenumb,accename
PHZ51,PHZ51,PI601322,PHZ51
A239,A239,AMES23405,A239
A554,A554,PI587138,A554
A632,A632,PI587140,A632
A635,A635,AMES19309,A635
A659,A659,NSL81599,A659
A679,A679,PI587142,A679
A680,A680,AMES23503,A680
A682,A682,PI587143,A682
B103,B103,AMES22788,B103
B104,B104,AMES22789,B104
B105,B105,AMES22790,B105
B109,B109,PI597927,B109
B115,B115,PI615190,B115
B14A,B14A,PI550461,B14A
B37,B37,PI550467,B37
B68,B68,PI550465,B68
B73,B73,PI550473,B73
B75,B75,PI608774,B75
B77,B77,PI608765,B77
B79,B79,PI608766,B79
B97,B97,PI564682,B97
DE811,DE811,PI550558,DE811
H84,H84,PI587128,H84
H99,H99,PI587129,H99
I205,I205,NSL65871,I 205
M14,M14,NSL30867,M14
N7A,N7A,PI607512,N7A
NC250,NC250,PI550555,NC250
NC264,NC264,PI520774,NC264
A258,A258,NSL81596,A258
A321,A321,AMES23421,A321
A322,A322,AMES23422,A322
A334,A334,AMES23423,A334
A340,A340,AMES23424,A340
A374,A374,AMES23427,A374
A401,A401,AMES23430,A401
A427,A427,AMES23435,A427
A627,A627,AMES23463,A627
A648,A648,NSL81597,A648
A663,A663,PI607523,A663
A71,A71,NSL42875,A71
A73,A73,AMES22439,A73
AUSTRCF306238,AusTRCF_306238,NSL437933,AusTRCF 306238
B106,B106,PI594049,B106
B107,B107,PI597925,B107
B108,B108,PI597926,B108
B111,B111,PI607382,B111
B113,B113,PI607383,B113
B114,B114,PI607384,B114
B119,B119,PI634213,B119
B120,B120,PI634214,B120
B121,B121,PI634215,B121
B14,B14,NSL65866,B14
B164,B164,AMES27066,B164
B2,B2,AMES26769,B2
B66,B66,PI550464,B66
B85,B85,PI608777,B85
B87,B87,PI608768,B87
B88,B88,PI550556,B88
B91,B91,PI527700,B91
B99,B99,PI584528,B99
C102,C102,NSL22983,C102
C103,C103,AMES19284,C103
C123,C123,AMES19313,C123
CH157,CH157,AMES22441,CH157
CH9,CH9,AMES27068,CH9
CI40H,CI_40H,AMES26128,CI 40H
CML108,CML.108,AMES27082,CML 108
CML228,CML.228,AMES27088,CML 228
CML322,CML.322,AMES27096,CML 322
CML323,CML.323,AMES27097,CML 323
CML91,CML.91,AMES27079,CML 91
CO236,CO236,AMES27046,CO236
CO256,CO256,AMES27051,CO256
CO257,CO257,AMES27052,CO257
CO258,CO258,AMES27053,CO258
CR1HT,CR1HT,PI601080,CR1HT
CR22INBRED,CR_22_INBRED,PI267165,CR 22 INBRED
CSJ3,CSJ3,AMES27057,CSJ3
DE3,DE3,PI638551,DE3
DE4,DE4,PI638552,DE4
F2834T,F2834T,AMES27112,F2834T
FC46,FC46,PI257517,FC46
FR19,FR19,PI600772,FR19
G80,G80,PI601037,G80
H110,H110,PI550526,H110
H113,H113,AMES26803,H113
H114,H114,AMES22751,H114
H121,H121,AMES26804,H121
H49,H49,AMES15929,H49
H5,H5,AMES26772,H5
H71,H71,AMES26793,H71
H95,H95,AMES19319,H95
H96,H96,AMES26797,H96
HI28,Hi28,PI593010,Hi28
HUANYAO,HUANYAO,AMES2337,Huanyao
IL14H,Il14H,AMES27118,Il14H
INBRED309,INBRED_309,PI186227,INBRED 309
K150,K150,NSL22630,K150
K41,K41,NSL22635,K41
K55,K55,AMES22754,K55
KI11,Ki11,AMES27124,Ki11
KI3,Ki3,AMES27123,Ki3
KY21,Ky21,AMES27130,Ky21
